name,Rd_star_kpc,Mstar_Msun,hz_star_kpc,Rd_gas_kpc,Mgas_Msun,hz_gas_kpc
CamB,0.47,37500000.0,0.09,0.85,15960000.000000002,0.15
D512-2,1.24,162500000.0,0.25,2.23,107730000.0,0.15
D564-8,0.61,16500000.0,0.12,1.1,38570000.00000001,0.15
D631-7,0.7,98000000.0,0.14,1.26,385700000.0,0.15
DDO064,0.69,78500000.0,0.14,1.24,280630000.0,0.15
DDO154,0.37,26500000.0,0.07,0.67,365750000.00000006,0.15
DDO161,1.22,274000000.0,0.24,2.2,1832740000.0,0.15
DDO168,1.02,95500000.0,0.2,1.84,549290000.0,0.15
DDO170,1.95,271500000.0,0.39,3.51,977550000.0,0.15
ESO079-G014,5.08,25866500000.0,1.02,9.14,4176200000.0000005,0.15
ESO116-G012,1.51,2146000000.0,0.3,2.72,1440390000.0,0.15
ESO444-G084,0.46,35500000.0,0.09,0.83,179550000.00000003,0.15
ESO563-G021,5.45,155588500000.0,1.09,9.81,32316339999.999996,0.15
F561-1,2.79,2038500000.0,0.56,5.02,2157260000.0000005,0.15
F563-1,3.52,951500000.0,0.7,6.34,4256000000.0,0.15
F563-V1,3.79,770000000.0,0.76,6.82,811300000.0,0.15
F563-V2,2.43,1493000000.0,0.49,4.37,2884770000.0,0.15
F565-V2,2.17,279500000.0,0.43,3.91,929670000.0,0.15
F567-2,3.08,1067000000.0,0.62,5.54,3257170000.0,0.15
F568-1,5.18,3126000000.0,1.04,9.32,5982340000.000001,0.15
F568-3,4.99,4173000000.0,1.0,8.98,4249349999.9999995,0.15
F568-V1,2.85,1912500000.0,0.57,5.13,3313030000.0000005,0.15
F571-8,3.56,5082000000.0,0.71,6.41,2370060000.0,0.15
F571-V1,2.47,924500000.0,0.49,4.45,1618610000.0,0.15
F574-1,4.46,3268500000.0,0.89,8.03,4686920000.000001,0.15
F574-2,3.76,1438500000.0,0.75,6.77,2262330000.0000005,0.15
F579-V1,3.37,5924000000.0,0.67,6.07,2985850000.0,0.15
F583-1,2.36,493000000.0,0.47,4.25,2827580000.0,0.15
F583-4,1.93,857500000.0,0.39,3.47,852530000.0,0.15
IC2574,2.78,508000000.0,0.56,5.0,1377880000.0000002,0.15
IC4202,4.78,89874500000.0,0.96,8.6,16393580000.0,0.15
KK98-251,1.34,42500000.0,0.27,2.41,152950000.0,0.15
NGC0024,1.34,1944500000.0,0.27,2.41,899080000.0000001,0.15
NGC0055,6.11,2314000000.0,1.22,11.0,2081450000.0000002,0.15
NGC0100,1.66,1616000000.0,0.33,2.99,2646700000.0,0.15
NGC0247,3.74,3666000000.0,0.75,6.73,2322180000.0,0.15
NGC0289,6.74,36032500000.0,1.35,12.13,36533770000.00001,0.15
NGC0300,1.75,1461000000.0,0.35,3.15,1244880000.0000002,0.15
NGC0801,8.72,156285000000.0,1.74,15.7,30857330000.0,0.15
NGC0891,2.55,69170000000.0,0.51,4.59,5934460000.0,0.15
NGC1003,1.61,3410000000.0,0.32,2.9,7820400000.0,0.15
NGC1090,3.53,36022500000.0,0.71,6.35,11681390000.0,0.15
NGC1705,0.39,266500000.0,0.08,0.7,184870000.00000003,0.15
NGC2366,0.65,118000000.0,0.13,1.17,860510000.0000001,0.15
NGC2403,1.39,5020500000.0,0.28,2.5,4254670000.0,0.15
NGC2683,2.18,40207500000.0,0.44,3.92,1869980000.0,0.15
NGC2841,3.64,94060500000.0,0.73,6.55,13000750000.000002,0.15
NGC2903,2.33,40931500000.0,0.47,4.19,3394160000.0000005,0.15
NGC2915,0.55,320500000.0,0.11,0.99,675640000.0,0.15
NGC2955,18.76,159711000000.0,3.75,33.77,38502170000.00001,0.15
